"ENSRNOG00000000264",56,50,57,67,53,22,74,69
"ENSRNOG00000000274",86,61,65,80,84,35,61,88
"ENSRNOG00000000275",6,14,12,9,9,4,12,14
"ENSRNOG00000000277",12,8,18,9,10,3,9,15
"ENSRNOG00000000279",25,35,32,42,34,28,44,52
"ENSRNOG00000000281",65,72,92,106,82,29,98,120
"ENSRNOG00000000283",11,19,12,17,15,6,15,14
"ENSRNOG00000000288",10,25,26,20,23,11,32,28
"ENSRNOG00000000299",6,6,13,8,9,4,8,9
"ENSRNOG00000000302",85,109,108,173,85,38,144,143
"ENSRNOG00000000303",26,26,16,42,28,4,35,36
"ENSRNOG00000000304",62,63,70,117,69,35,98,94
"ENSRNOG00000000306",35,33,24,37,38,15,39,35
"ENSRNOG00000000307",4,8,6,6,3,2,3,3
"ENSRNOG00000000308",49,46,34,68,52,22,53,72
"ENSRNOG00000000312",153,113,137,188,153,40,152,151
"ENSRNOG00000000314",147,132,142,177,158,64,140,179
"ENSRNOG00000000316",34,25,34,32,25,23,34,27
"ENSRNOG00000000320",0,0,0,0,0,0,0,0
"ENSRNOG00000000321",128,101,110,108,97,27,131,131
"ENSRNOG00000000322",19,34,32,42,30,27,25,38
"ENSRNOG00000000323",5,7,3,2,0,0,6,5
"ENSRNOG00000000327",39,32,33,34,50,15,45,44
"ENSRNOG00000000335",1,0,0,0,0,0,0,0
"ENSRNOG00000000340",168,182,204,270,214,97,219,234
"ENSRNOG00000000341",13,4,4,4,2,0,2,4
"ENSRNOG00000000368",194,196,180,271,256,92,290,293
"ENSRNOG00000000373",3,1,0,0,0,0,1,1
"ENSRNOG00000000378",845,632,465,738,684,174,858,999
"ENSRNOG00000000386",22,19,12,15,12,12,13,21
"ENSRNOG00000000387",63,68,56,98,70,22,101,99
"ENSRNOG00000000392",63,55,69,74,67,28,71,80
"ENSRNOG00000000394",69,66,77,89,59,22,96,102
"ENSRNOG00000000395",102,122,159,142,154,48,144,172
"ENSRNOG00000000396",124,130,163,185,137,64,154,142
"ENSRNOG00000000397",215,240,248,314,254,137,295,290
"ENSRNOG00000000398",49,36,34,56,53,18,55,60
"ENSRNOG00000000401",1,0,0,0,0,0,0,0
"ENSRNOG00000000406",0,0,2,1,0,0,0,0
"ENSRNOG00000000407",2,0,0,1,0,1,0,1
"ENSRNOG00000000408",94,81,100,123,84,26,83,124
"ENSRNOG00000000410",0,5,1,4,0,0,2,5
"ENSRNOG00000000411",144,154,173,241,183,72,210,219
"ENSRNOG00000000412",116,104,146,170,141,72,158,154
"ENSRNOG00000000413",10,5,3,4,6,5,8,7
"ENSRNOG00000000414",15,17,15,24,16,7,23,21
"ENSRNOG00000000415",33,28,26,39,38,13,37,38
"ENSRNOG00000000417",106,103,88,134,113,46,128,147
"ENSRNOG00000000418",11,10,3,12,4,5,16,15
"ENSRNOG00000000420",52,56,49,67,42,20,69,54
"ENSRNOG00000000421",53,46,57,80,74,29,82,81
"ENSRNOG00000000422",13,10,15,23,22,11,14,21
"ENSRNOG00000000423",39,37,31,36,35,20,33,49
"ENSRNOG00000000428",5,1,4,4,4,1,3,2
"ENSRNOG00000000431",78,91,94,122,106,44,108,110
"ENSRNOG00000000432",14,17,12,14,8,9,20,23
"ENSRNOG00000000433",217,252,270,280,243,114,248,329
"ENSRNOG00000000435",60,75,67,98,80,27,83,87
"ENSRNOG00000000436",9,11,14,14,9,8,8,17
"ENSRNOG00000000437",143,174,167,229,137,121,161,161
"ENSRNOG00000000438",137,147,195,197,207,60,182,199
"ENSRNOG00000000439",21,18,19,38,15,31,34,24
"ENSRNOG00000000440",75,65,63,89,70,40,68,128
"ENSRNOG00000000441",2,1,0,4,3,1,4,7
"ENSRNOG00000000442",22,13,20,37,25,19,22,18
"ENSRNOG00000000451",0,1,2,0,0,0,4,2
"ENSRNOG00000000454",7,1,1,2,2,1,3,8
