dam_id,exposure,avg_lg
13,mixed,397.6713333
14,mixed,305.599
17,vehicle,630.0247143
18,vehicle,227.039875
19,mixed,176.468
20,mixed,248.71625
23,vehicle,129.17
24,vehicle,288.5581667
