pup_id,condition,dam_id,sex,lg_centered
17.x,vehicle,17,female,2.443595838
23.6,vehicle,23,female,-1.100900109
23.7,vehicle,23,male,-1.100900109
24.5,vehicle,24,female,0.027073123
24.6,vehicle,24,male,0.027073123
13.5,mixed,13,male,0.799255486
13.6,mixed,13,male,0.799255486
14.8,mixed,14,female,0.147669302
19.5,mixed,19,female,-0.766177155
19.6,mixed,19,male,-0.766177155
20.7,mixed,20,female,-0.254883916
20.8,mixed,20,male,-0.254883916
